📺央视数字频道,#genre#
兵器科技,http://111.162.165.87:8086/udp/225.1.2.166:5002
兵器科技,http://113.101.245.14:9988/udp/239.253.43.9:5146
兵器科技,http://114.104.182.18:8686/udp/238.1.79.56:4584
兵器科技,http://219.141.46.245:8188/udp/238.255.2.34:5999
兵器科技,http://222.95.175.59:58888/udp/239.49.8.88:8000
兵器科技,https://hls-gateway.vpstv.net/streams/708856.m3u8
兵器科技,https://epg.pw/stream/3738a6459406852b60aec58d7bc5dd3bf4d3890799a2f0563346890738155ff3.m3u8
第一剧场,http://111.162.165.87:8086/udp/225.1.2.175:5002
第一剧场,http://113.101.245.14:9988/udp/239.253.43.15:5146
第一剧场,http://114.104.182.18:8686/udp/238.1.79.63:4640
第一剧场,http://220.176.218.102:9000/udp/239.252.219.86:5140
第一剧场,http://219.141.46.245:8188/udp/238.255.2.25:5999
第一剧场,http://222.95.175.59:58888/udp/239.49.8.94:8000
第一剧场,https://epg.pw/stream/6d7bf281e3d739806a73f5373acaa6e01988ec9739f5ac1355ce54b47a928472.m3u8
第一剧场,https://hls-gateway.vpstv.net/streams/708862.m3u8
发现之旅,http://goo.bkpcp.top/mg/fxzl
风云剧场,http://111.162.165.87:8086/udp/225.1.2.174:5002
风云剧场,http://113.101.245.14:9988/udp/239.253.43.16:5146
风云剧场,http://114.104.182.18:8686/udp/238.1.79.62:4632
风云剧场,http://220.176.218.102:9000/udp/239.252.219.89:5140
风云剧场,http://222.95.175.59:58888/udp/239.49.8.89:8000
风云剧场,https://hls-gateway.vpstv.net/streams/708861.m3u8
风云剧场,http://max.token.iptv.xin:2052/live/fetch/iptv.xin.ly_295
风云音乐,http://111.162.165.87:8086/udp/225.1.2.176:5002
风云音乐,http://113.101.245.14:9988/udp/239.253.43.6:5146
风云音乐,http://114.104.182.18:8686/udp/238.1.79.64:4648
风云音乐,http://219.141.46.245:8188/udp/238.255.2.24:5999
风云音乐,http://222.95.175.59:58888/udp/239.49.8.92:8000
风云音乐,https://hls-gateway.vpstv.net/streams/708858.m3u8
风云音乐,http://max.token.iptv.xin:2052/live/fetch/iptv.xin.ly_298
风云足球,http://111.162.165.87:8086/udp/225.1.2.168:5002
风云足球,http://113.101.245.14:9988/udp/239.253.43.20:5146
风云足球,http://114.104.182.18:8686/udp/238.1.79.57:4592
风云足球,http://220.176.218.102:9000/udp/239.252.219.96:5140
风云足球,http://219.141.46.245:8188/udp/238.255.2.29:5999
风云足球,http://222.95.175.59:58888/udp/239.49.8.85:8000
风云足球,https://epg.pw/stream/ac8062ec9484078061d3bef507c15a423ac57ae4144e3fcc4b0a198dd420f911.m3u80
风云足球,http://[2409:8087:7001:20:2::3]/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226984/index.m3u8
央视台球,http://satellitepull.cnr.cn/live/wx32nmgyygb/playlist.m3u8
央视台球,http://111.162.165.87:8086/udp/225.1.2.170:5002
央视台球,http://113.101.245.14:9988/udp/239.253.43.11:5146
央视台球,http://114.104.182.18:8686/udp/238.1.79.59:4608
央视台球,http://220.176.218.102:9000/udp/239.252.219.80:5140
央视台球,http://219.141.46.245:8188/udp/238.255.2.224:5999
央视台球,http://222.95.175.59:58888/udp/239.49.8.32:8000
央视台球,https://epg.pw/stream/25677ac2e8c1f7c3dd6359c43eb5f0f54efb3f5c11f9dda18d01b3e0308ed017.m3u8
央视台球,http://[2409:8087:7001:20:2::3]/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226956/index.m3u8
高尔夫网球,http://111.162.165.87:8086/udp/225.1.2.169:5002
高尔夫网球,http://113.101.245.14:9988/udp/239.253.43.22:5146
高尔夫网球,http://114.104.182.18:8686/udp/238.1.79.58:4600
高尔夫网球,http://220.176.218.102:9000/udp/239.252.219.95:5140
高尔夫网球,http://219.141.46.245:8188/udp/238.255.2.223:5999
高尔夫网球,http://222.95.175.59:58888/udp/239.49.8.86:8000
高尔夫网球,https://hls-gateway.vpstv.net/streams/708857.m3u8
高尔夫网球,http://max.token.iptv.xin:2052/live/fetch/iptv.xin.ly_300
怀旧剧场,http://111.162.165.87:8086/udp/225.1.2.173:5002
怀旧剧场,http://113.101.245.14:9988/udp/239.253.43.25:5146
怀旧剧场,http://220.176.218.102:9000/udp/239.252.219.90:5140
