📺央视数字频道,#genre#
兵器科技,http://113.101.245.14:9988/udp/239.253.43.9:5146
兵器科技,http://114.104.182.18:8686/udp/238.1.79.56:4584
兵器科技,http://111.162.165.87:8086/udp/225.1.2.166:5002
第一剧场,http://113.101.245.14:9988/udp/239.253.43.15:5146
第一剧场,http://111.162.165.87:8086/udp/225.1.2.175:5002
第一剧场,http://114.104.182.18:8686/udp/238.1.79.63:4640
风云剧场,http://113.101.245.14:9988/udp/239.253.43.16:5146
风云剧场,http://111.162.165.87:8086/udp/225.1.2.174:5002
风云剧场,http://114.104.182.18:8686/udp/238.1.79.62:4632
风云音乐,http://111.162.165.87:8086/udp/225.1.2.176:5002
风云音乐,http://114.104.182.18:8686/udp/238.1.79.64:4648
风云足球,http://111.162.165.87:8086/udp/225.1.2.168:5002
风云足球,http://113.101.245.14:9988/udp/239.253.43.20:5146
风云足球,http://114.104.182.18:8686/udp/238.1.79.57:4592
央视台球,http://satellitepull.cnr.cn/live/wx32nmgyygb/playlist.m3u8
央视台球,http://113.101.245.14:9988/udp/239.253.43.11:5146
央视台球,http://114.104.182.18:8686/udp/238.1.79.59:4608
央视台球,http://111.162.165.87:8086/udp/225.1.2.170:5002
高尔夫网球,http://111.162.165.87:8086/udp/225.1.2.169:5002
高尔夫网球,http://113.101.245.14:9988/udp/239.253.43.22:5146
高尔夫网球,http://114.104.182.18:8686/udp/238.1.79.58:4600
怀旧剧场,http://111.162.165.87:8086/udp/225.1.2.173:5002
怀旧剧场,http://113.101.245.14:9988/udp/239.253.43.25:5146
怀旧剧场,http://114.104.182.18:8686/udp/238.1.79.61:4624
老故事,https://gdcucc.v1.mk/gdcucc/cwjd.m3u8
女性时尚,http://111.162.165.87:8086/udp/225.1.2.172:5002
女性时尚,http://114.104.182.18:8686/udp/238.1.79.55:4576
女性时尚,http://113.101.245.14:9988/udp/239.253.43.8:5146
世界地理,http://111.162.165.87:8086/udp/225.1.2.171:5002
世界地理,http://113.101.245.14:9988/udp/239.253.43.7:5146
世界地理,http://114.104.182.18:8686/udp/238.1.79.60:4616
文化精品,http://114.104.182.18:8686/udp/238.1.79.54:4568
文化精品,http://111.162.165.87:8086/udp/225.1.2.177:5002
文化精品,http://113.101.245.14:9988/udp/239.253.43.27:5146
百姓健康,http://111.162.165.87:8086/udp/225.1.2.165:5002
中国交通,http://114.246.181.8:4022/udp/239.3.1.188:8001
中国天气,http://111.162.165.87:8086/udp/225.1.2.120:5002
中国天气,http://222.95.175.59:58888/udp/239.49.0.94:8000
CETV早教,http://111.162.165.87:8086/udp/225.1.2.207:5002

📡卫视频道,#genre#
山东卫视,http://111.162.165.87:8086/udp/225.1.1.148:5002
山东卫视,http://114.104.182.18:8686/udp/238.1.78.169:7224
山东卫视,http://113.101.245.14:9988/udp/239.77.0.94:5146
山东卫视,http://222.95.175.59:58888/udp/239.49.8.7:9306
山东卫视,http://xrhui.f3322.org:8888/udp/233.50.201.105:5140
山东卫视,http://uo202.1985001.xyz:66/udp/239.93.0.168:5140
北京卫视,http://satellitepull.cnr.cn/live/wxbtv/playlist.m3u8
北京卫视,http://222.95.175.59:58888/udp/239.49.0.253:8000
北京卫视,http://111.162.165.87:8086/udp/225.1.1.113:5002
北京卫视,http://113.101.245.14:9988/udp/239.77.0.91:5146
北京卫视,http://114.104.182.18:8686/udp/238.1.78.162:7168
北京卫视,http://114.246.181.8:4022/udp/239.3.1.241:8000
北京卫视,http://xrhui.f3322.org:8888/udp/233.50.200.179:5140
浙江卫视,http://111.162.165.87:8086/udp/225.1.1.112:5002
浙江卫视,http://113.101.245.14:9988/udp/239.77.1.33:5146
浙江卫视,http://114.104.182.18:8686/udp/238.1.78.164:7184
浙江卫视,http://222.95.175.59:58888/udp/239.49.8.20:9618
