更新时间,#genre#
2024-10-25 06:40:50,url
🔰央视频道,#genre#
CCTV1综合,http://223.10.39.207:8082/rtp/239.1.1.7:8007$1920x1080
CCTV1综合,http://223.10.115.195:8082/rtp/239.1.1.7:8007$1920x1080
CCTV1综合,http://110.177.146.171:888/udp/239.1.1.7:8007$1920x1080
CCTV1综合,http://60.164.128.167:8029/rtp/239.255.30.101:8231$1920x1080
CCTV1综合,http://110.177.146.171:888/rtp/239.1.1.7:8007$1920x1080
CCTV1综合,http://223.12.113.32:8083/rtp/239.1.1.7:8007$1920x1080
CCTV1综合,http://123.118.228.16:9090/rtp/239.3.1.129:8008$1920x1080
CCTV1综合,http://111.175.164.168:8888/rtp/239.254.96.96:8550$1920x1080
CCTV1综合,http://119.98.51.196:4022/rtp/239.254.96.96:8550$1920x1080
CCTV1综合,http://180.103.165.67:8888/rtp/239.49.8.129:6000$1920x1080
CCTV1综合,http://223.215.3.199:2000/rtp/238.1.78.166:7200$1920x1080
CCTV1综合,http://114.230.190.227:8600/rtp/239.49.8.129:6000$1920x1080
CCTV1综合,http://220.178.184.252:4000/rtp/238.1.78.166:7200$1920x1080
CCTV1综合,http://118.81.238.60:8004/rtp/226.0.2.153:9136$1920x1080
CCTV1综合,http://27.16.239.141:8989/rtp/239.254.96.96:8550$1920x1080
CCTV1综合,http://119.98.133.99:4022/rtp/239.254.96.96:8550$1920x1080
CCTV1综合,http://171.118.137.182:8083/rtp/226.0.2.153:9136$1920x1080
CCTV1综合,http://36.49.51.252:30007/rtp/239.37.0.254:5540$1920x1080
CCTV1综合,http://122.189.103.254:8010/rtp/228.0.0.1:6108$1920x1080
CCTV1综合,http://113.251.73.45:5555/rtp/235.254.198.51:1480$1920x1080
CCTV1综合,http://27.11.250.143:8003/rtp/225.0.4.74:7980$1920x1080
CCTV1综合,http://180.102.252.58:8000/rtp/239.49.8.129:6000$1920x1080
CCTV1综合,http://180.113.67.53:8787/rtp/239.49.8.129:6000$1920x1080
CCTV1综合,http://49.74.204.166:8888/rtp/239.49.8.129:6000$1920x1080
